18, 18
9, 9
17, 17
10, 10
9, 9
16, 16
10, 10
1, 1
16, 16
17, 17
9, 9
18, 18
1, 1
3, 3
11, 11
5, 20
4, 4
1, 3
5, 20
3, 3
7, 7
60, 1
9, 9
0, 0
6, 6
0, 0
18, 18
0, 0
54, 54
51, 51
11, 11
0, 0
4, 4
9, 9
12, 12
15, 15
25, 25
20, 20
0, 0
13, 13
9, 9
21, 21
18, 18
9, 12
5, 5
6, 6
11, 11
36, 12
25, 25
20, 20
8, 8
18, 18
20, 20
19, 19
17, 17
0, 0
32, 14
5, 5
15, 15
4, 4
5, 5
10, 10
3, 17
1, 1
60, 60
13, 13
20, 20
7, 7
0, 0
0, 0
15, 15
14, 14
25, 25
7, 7
17, 17
18, 18
12, 12
19, 19
1, 1
12, 12
15, 15
5, 5
8, 8
6, 6
1, 1
2, 2
9, 9
5, 5
13, 13
14, 14
5, 20
7, 19
0, 0
5, 5
45, 45
11, 11
0, 0
42, 42
33, 33
4, 4
12, 12
2, 2
18, 18
0, 0
5, 5
20, 20
9, 9
12, 12
17, 17
8, 19
1, 20
9, 9
3, 3
0, 6
10, 10
5, 15
20, 20
5, 5
17, 17
0, 0
9, 9
15, 15
9, 9
36, 36
7, 7
2, 2
25, 25
9, 12
18, 18
3, 3
12, 12
4, 4
0, 0
14, 14
0, 0
5, 5
42, 14
12, 12
20, 20
25, 25
0, 26
12, 12
3, 3
4, 18
3, 3
50, 50
54, 18
0, 0
5, 5
2, 2
4, 13
4, 4
8, 8
20, 20
19, 19
7, 7
17, 17
14, 14
8, 8
9, 12
2, 2
13, 13
4, 4
4, 4
1, 20
15, 15
0, 0
17, 17
20, 20
1, 1
4, 4
20, 20
3, 3
9, 9
12, 12
13, 13
54, 54
60, 61
17, 17
11, 11
19, 19
8, 8
13, 13
5, 5
0, 0
0, 0
18, 18
2, 2
15, 15
15, 15
12, 36
25, 25
1, 1
1, 1
13, 13
3, 3
13, 13
9, 9
4, 12
10, 10
18, 18
0, 0
1, 1
0, 0
13, 13
18, 18
8, 24
16, 16
0, 0
6, 6
0, 0
1, 1
5, 5
0, 0
4, 4
8, 8
13, 13
13, 13
6, 6
6, 6
7, 16
1, 1
9, 9
12, 27
15, 15
17, 17
4, 4
5, 5
5, 20
51, 51
11, 33
5, 5
19, 19
22, 22
1, 1
24, 24
3, 3
9, 9
15, 12
20, 20
13, 13
16, 16
9, 9
5, 5
3, 3
13, 13
16, 16
15, 45
18, 18
1, 1
7, 7
14, 14
9, 12
12, 12
7, 7
5, 20
2, 2
8, 8
14, 38
6, 6
14, 14
1, 1
19, 19
0, 0
8, 8
0, 0
5, 5
18, 18
19, 19
0, 0
19, 14
14, 14
5, 5
8, 8
3, 3
1, 1
15, 15
0, 0
5, 5
0, 0
25, 25
15, 15
0, 0
7, 7
7, 3
3, 3
19, 19
12, 12
1, 1
19, 19
7, 7
20, 20
2, 2
20, 20
19, 3
0, 0
20, 1
12, 12
0, 0
2, 2
0, 10
17, 17
