1, 1, 1
1, 1, 2
1, 1, 3
1, 1, 4
1, 1, 5
3, 3, 6
3, 3, 7
3, 3, 8
3, 3, 9
3, 3, 10
1, 1, 11
1, 1, 12
1, 1, 13
1, 1, 14
1, 1, 15
2, 2, 16
2, 2, 17
2, 2, 18
2, 2, 19
2, 2, 20
18, 18, 1
18, 18, 2
18, 18, 3
18, 18, 4
18, 18, 5
18, 54, 6
54, 54, 7
18, 54, 8
54, 54, 9
54, 54, 10
18, 18, 11
18, 18, 12
54, 18, 13
18, 18, 14
18, 18, 15
36, 36, 16
36, 36, 17
18, 36, 18
36, 36, 19
36, 36, 20
4, 4, 1
4, 4, 2
4, 4, 3
4, 4, 4
4, 4, 5
4, 12, 6
12, 12, 7
12, 12, 8
12, 12, 9
12, 12, 10
54, 4, 11
4, 4, 12
4, 4, 13
4, 4, 14
4, 4, 15
4, 8, 16
8, 8, 17
8, 8, 18
8, 8, 19
8, 8, 20
10, 13, 1
13, 13, 2
13, 13, 3
13, 13, 4
13, 13, 5
39, 39, 6
4, 39, 7
13, 39, 8
39, 39, 9
13, 39, 10
13, 13, 11
13, 13, 12
13, 13, 13
13, 13, 14
13, 13, 15
13, 26, 16
26, 26, 17
13, 26, 18
26, 26, 19
26, 26, 20
6, 6, 1
6, 6, 2
6, 6, 3
6, 6, 4
6, 6, 5
18, 18, 6
18, 18, 7
6, 18, 8
18, 18, 9
18, 18, 10
6, 6, 11
6, 6, 12
6, 6, 13
6, 6, 14
6, 6, 15
12, 12, 16
12, 12, 17
6, 12, 18
12, 12, 19
12, 12, 20
10, 10, 1
10, 10, 2
10, 10, 3
10, 10, 4
10, 10, 5
10, 30, 6
30, 30, 7
10, 30, 8
30, 30, 9
30, 30, 10
10, 10, 11
10, 10, 12
10, 10, 13
10, 10, 14
10, 10, 15
20, 20, 16
0, 20, 17
10, 20, 18
20, 20, 19
20, 20, 20
15, 15, 1
15, 15, 2
45, 15, 3
15, 15, 4
15, 15, 5
15, 45, 6
45, 45, 7
45, 45, 8
45, 45, 9
45, 45, 10
15, 15, 11
15, 15, 12
15, 15, 13
30, 15, 14
15, 15, 15
15, 30, 16
30, 30, 17
15, 30, 18
30, 30, 19
30, 30, 20
2, 2, 1
2, 2, 2
2, 2, 3
2, 2, 4
2, 2, 5
2, 6, 6
6, 6, 7
2, 6, 8
6, 6, 9
6, 6, 10
2, 2, 11
2, 2, 12
2, 2, 13
2, 2, 14
2, 2, 15
4, 4, 16
4, 4, 17
2, 4, 18
4, 4, 19
4, 4, 20
17, 17, 1
17, 17, 2
17, 17, 3
17, 17, 4
17, 17, 5
17, 51, 6
51, 51, 7
17, 51, 8
51, 51, 9
51, 51, 10
17, 17, 11
17, 17, 12
17, 17, 13
3, 17, 14
17, 17, 15
17, 34, 16
34, 34, 17
17, 34, 18
34, 34, 19
34, 34, 20
3, 3, 1
3, 3, 2
3, 3, 3
19, 3, 4
3, 3, 5
9, 9, 6
9, 9, 7
3, 9, 8
9, 9, 9
3, 9, 10
9, 3, 11
3, 3, 12
3, 3, 13
3, 3, 14
3, 3, 15
3, 6, 16
6, 6, 17
3, 6, 18
6, 6, 19
3, 6, 20
19, 19, 1
7, 19, 2
19, 19, 3
7, 19, 4
7, 19, 5
19, 58, 6
57, 57, 7
19, 57, 8
57, 57, 9
57, 57, 10
19, 19, 11
19, 19, 12
19, 19, 13
19, 19, 14
19, 19, 15
38, 38, 16
38, 38, 17
14, 38, 18
14, 38, 19
38, 38, 20
7, 7, 1
7, 7, 2
7, 7, 3
7, 7, 4
7, 7, 5
21, 21, 6
21, 21, 7
7, 21, 8
21, 21, 9
21, 21, 10
7, 7, 11
19, 7, 12
7, 7, 13
7, 7, 14
7, 7, 15
19, 14, 16
38, 14, 17
7, 14, 18
32, 14, 19
14, 14, 20
16, 16, 1
7, 16, 2
16, 16, 3
16, 16, 4
16, 16, 5
16, 48, 6
48, 48, 7
16, 48, 8
48, 48, 9
48, 48, 10
16, 16, 11
16, 16, 12
16, 16, 13
16, 16, 14
16, 16, 15
32, 32, 16
0, 32, 17
32, 32, 18
32, 32, 19
32, 32, 20
8, 8, 1
8, 8, 2
8, 8, 3
8, 8, 4
8, 8, 5
8, 24, 6
24, 24, 7
24, 24, 8
24, 24, 9
24, 24, 10
16, 8 , 11
8, 8, 12
8, 8, 13
8, 8, 14
8, 8, 15
8, 16, 16
16, 16, 17
8, 16, 18
16, 16, 19
16, 16, 20
11, 11, 1
11, 11, 2
11, 11, 3
11, 11, 4
11, 11, 5
11, 33, 6
33, 33, 7
33, 33, 8
33, 33, 9
33, 33, 10
11, 11, 11
11, 11, 12
11, 11, 13
11, 11, 14
11, 11, 15
22, 22, 16
22, 22, 17
20, 22, 18
22, 22, 19
22, 22, 20
14, 14, 1
14, 14, 2
14, 14, 3
14, 14, 4
14, 14, 5
42, 42, 6
42, 42, 7
14, 42, 8
42, 42, 9
42, 42, 10
14, 14, 11
20, 14, 12
14, 14, 13
14, 14, 14
14, 14, 15
20, 28, 16
28, 28, 17
14, 28, 18
0, 28, 19
28, 28, 20
9, 9, 1
9, 9, 2
27, 9, 3
9, 9, 4
9, 9, 5
9, 27, 6
27, 27, 7
27, 27, 8
12, 27, 9
27, 27, 10
27, 9, 11
9, 9, 12
36, 9, 13
9, 9, 14
9, 9, 15
18, 18, 16
18, 18, 17
18, 18, 18
0, 18, 19
18, 18, 20
12, 12, 1
12, 12, 2
12, 12, 3
12, 12, 4
12, 12, 5
36, 36, 6
36, 36, 7
36, 36, 8
36, 36, 9
36, 36, 10
36, 12, 11
12, 12, 12
12, 12, 13
12, 12, 14
12, 12, 15
24, 24, 16
0, 24, 17
12, 24, 18
24, 24, 19
24, 24, 20
5, 5, 1
5, 5, 2
5, 5, 3
5, 5, 4
5, 5, 5
15, 15, 6
15, 15, 7
5, 15, 8
15, 15, 9
15, 15, 10
5, 5, 11
5, 5, 12
5, 5, 13
5, 5, 14
5, 5, 15
5, 10, 16
10, 10, 17
10, 10, 18
10, 10, 19
10, 10, 20
20, 20, 1
20, 20, 2
20, 20, 3
20, 20, 4
20, 20, 5
20, 60, 6
60, 60, 7
60, 60, 8
60, 60, 9
60, 60, 10
20, 20, 11
20, 20, 12
60, 20, 13
20, 20, 14
20, 20, 15
20, 40, 16
40, 40, 17
40, 40, 18
40, 40, 19
40, 40, 20
