1, 1, S
13, 13, S
5, 5, S
14, 14, S
20, 20, S
15, 2, S
20, 60, T
19, 19, S
2, 2, S
40, 20, S
8, 8, S
13, 13, S
1, 1, S
24, 24, T
7, 7, S
5, 5, S
13, 39, T
8, 8, S
3, 3, T
5, 5, S
48, 48, T
1, 1, S
11, 11, S
19, 3, S
9, 9, S
1, 1, S
0, 0, S
5, 5, S
14, 14, S
16, 16, S
20, 20, S
5, 5, S
60, 60, T
0, 0, S
9, 3, S
0, 0, S
9, 12, S
16, 16, S
6, 6, S
20, 20, S
17, 17, S
9, 9, S
0, 0, S
11, 11, S
18, 18, T
20, 20, S
25, 25, S
0, 0, S
0, 0, S
20, 20, S
7, 7, S
4, 4, S
10, 10, S
2, 2, S
3, 3, S
14, 14, S
0, 0, S
0, 0, S
0, 0, S
3, 3, S
1, 1, S
14, 14, S
3, 3, S
4, 4, S
11, 11, S
1, 1, S
60, 60, T
8, 24, T
3, 17, S
7, 25, S
16, 16, S
19, 3, S
0, 0, S
0, 0, S
1, 1, S
3, 3, 
7, 7, 
13, 13, 
3, 17, S
16, 16, S
8, 8, S
1, 1, S
11, 11, S
0, 0, S
18, 18, S
3, 3, S
0, 0, S
3, 3, S
14, 14, S
10, 10, S
1, 1, S
3, 6, D
0, 0, S
10, 6, S
8, 8, S
5, 5, S
