3.02,15.34
2.03,4.71
8.72,1.49
8.79,7.89
14.87,15.65
0.38,13.95
5.25,12.39
12.91,11.34
2.78,13.78
9.68,11.72
4.53,5.28
1.61,13.58
3.47,12.26
14.46,10.87
8.17,6.1
1.44,12.46
10.51,9.96
12.6,3.01
1.06,9.79
2.16,10.33
13.74,5.25
13.12,17.2
14.91,5.82
4.67,18.96
0.21,7.69
1.48,19.37
16.38,7.96
0.45,11.78
12.67,7.82
16.45,1.19
3.74,9.18
9.41,16.53
12.26,13.17
1.72,15.17
9.93,13.48
7.66,3.12
5.29,13.27
5.74,15.75
5.77,5.86
7.32,7.08
1.48,6.81
10.47,9.28
2.58,18.22
6.35,4.67
25.41,5.99
3.54,8.16
22.56,18.02
2.27,14.22
0.86,11.58
9.14,6.47
0.14,2.1
8.45,13.21
0.96,10.57
5.6,6.84
12.54,19.68
0.48,0.61
9.68,10.6
0.96,4.0
1.82,6.33
15.56,7.38
4.12,2.24
9.86,10.8
1.92,14.16
4.77,14.9
6.35,5.49
12.88,2.3
1.06,2.13
3.98,9.65
12.54,25.23
1.51,5.15
2.54,11.45
12.47,10.23
